"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","MIME Type","Extension"
"ui0detect.exe.mui","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/ui0detect.exe.mui","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","mui"
"UIAnimation.dll.mui","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/UIAnimation.dll.mui","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","mui"
"urlmon.dll.mui","2010-11-21 02:06:19 COT","2015-03-22 10:19:00 COT","2010-11-21 02:06:19 COT","2010-11-21 02:06:19 COT","32256","Unallocated","Allocated","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/urlmon.dll.mui","2d5afa7f81d3ee061990e78613357c14","application/x-msdownload","mui"
"vbscript.dll.mui","2010-11-21 02:06:19 COT","2015-03-22 10:19:00 COT","2010-11-21 02:06:19 COT","2010-11-21 02:06:19 COT","10752","Unallocated","Allocated","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/vbscript.dll.mui","eb4e68e3417a3012395f111af754bc58","application/x-msdownload","mui"
"vdsutil.dll.mui","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/vdsutil.dll.mui","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","mui"
"webclnt.dll.mui","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/webclnt.dll.mui","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","mui"
"wextract.exe.mui","2010-11-21 02:06:31 COT","2015-03-22 10:19:00 COT","2010-11-21 02:06:31 COT","2010-11-21 02:06:31 COT","11776","Unallocated","Allocated","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/wextract.exe.mui","cfbcc3a15e40e1ee568035b8c65a3a8a","application/x-msdownload","mui"
"whoami.exe.mui","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/whoami.exe.mui","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","mui"
"wininet.dll.mui","2010-11-21 02:06:15 COT","2015-03-22 10:19:00 COT","2010-11-21 02:06:15 COT","2010-11-21 02:06:15 COT","50176","Unallocated","Allocated","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/wininet.dll.mui","202486e8224328ba9ea66965f0ec5a6d","application/x-msdownload","mui"
"Winrs.exe.mui","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/Winrs.exe.mui","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","mui"
"wlanpref.dll.mui","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/en-US/wlanpref.dll.mui","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","mui"
